"mRNA","coef","p"
"ENSG00000216937",-0.15880973554741,0.431129761178679
"ENSG00000132002",-0.188099868634881,0.227033562609198
"ENSG00000161681",-0.206772859131648,0.388809372846033
"ENSG00000124006",0.176435638456313,0.260517322312665
"ENSG00000151422",0.421450561093239,0.063391500513104
"ENSG00000198075",0.119763534537341,0.341960152587672
"ENSG00000203697",-0.0692006327532467,0.403057971565502
"ENSG00000180263",0.0410357831211823,0.802084725774369
"ENSG00000221990",-0.41642210657331,0.0473871799701708
"ENSG00000186367",0.236078214077511,0.239554686648326
"ENSG00000077585",0.101451138319075,0.584597344004043
"ENSG00000172243",0.0498079564895146,0.60760290551912
"ENSG00000132763",0.19292585835186,0.128632585465357
"ENSG00000106536",-0.128562736030759,0.088703789159293
"ENSG00000128242",-0.0828576796955999,0.548617841006615
"ENSG00000123545",0.32314182354339,0.159477625637098
"ENSG00000180902",0.00582925604895711,0.979214350074717
"ENSG00000157837",-0.0576172352349302,0.825354569321926
"ENSG00000196832",-0.363783758059933,0.0814205515428166
"ENSG00000127870",0.237951188409962,0.278420536618941
"ENSG00000124466",-0.255341158879097,0.00526013564801353
"ENSG00000101871",-0.0972352087680143,0.585997124518461
"ENSG00000106263",0.195503986378191,0.41172930208666
"ENSG00000206503",0.15140846098231,0.397469727717403
"ENSG00000136897",-0.191969938994254,0.344853996597559
"ENSG00000134759",0.0955484441487586,0.631829571465525
"ENSG00000198467",0.732490786740492,0.000147599428282241
"ENSG00000038002",-0.188179980313166,0.2446366065279
"ENSG00000197168",-0.171694353527793,0.0914830008081692
"ENSG00000163218",-0.0798640416426045,0.108128780028657
"ENSG00000078401",-0.250605925306125,0.0215943834584984
"ENSG00000148634",-0.157203241682778,0.379080687672849
"ENSG00000156103",0.0663192575628001,0.453345694839954
"ENSG00000169925",0.642957114281005,0.0157065737411757
"ENSG00000069206",0.0269061981944949,0.858805736878372
"ENSG00000142961",-0.559110947527086,5.04611957686807e-05
"ENSG00000140025",0.520550364171583,0.000811388410889569
"ENSG00000088367",-0.0428597401424954,0.786883581042524
"ENSG00000163346",0.170803084662069,0.447935288106663
"ENSG00000146776",0.254349792046804,0.176216560314767
"ENSG00000151790",0.0348279039864486,0.532087957377889
"ENSG00000138311",-0.0628312508554782,0.683267084354111
"ENSG00000168872",-0.169199538533311,0.415913376545199
"ENSG00000182685",0.0312180758040499,0.888346366068527
"ENSG00000178971",-0.246825984489387,0.291237518020118
"ENSG00000161016",-0.686258690199626,0.100951388107327
"ENSG00000245848",-0.461971679512819,0.00309157662323722
"ENSG00000169554",0.224060038422608,0.0867233406748726
"ENSG00000147138",0.0852779218094825,0.353248822769496
"ENSG00000163596",0.0320535100816258,0.764054480672779
"ENSG00000137103",0.0403759537179262,0.81005390363394
"ENSG00000107951",0.156890075046095,0.293994047798996
"ENSG00000105248",-0.024666244425524,0.901264327041002
"ENSG00000102547",0.174510174441059,0.147966841419756
"ENSG00000133112",0.196289307745838,0.343323094562483
"ENSG00000188909",-0.126464541350947,0.540378391625641
"ENSG00000249158",-0.192927258432881,0.142638159635446
"ENSG00000078269",0.443390870651125,0.11535094851384
"ENSG00000123983",0.475336450817443,0.0539358183602032
"ENSG00000188868",0.0513461500238473,0.735296640270646
"ENSG00000181378",-0.148909557322788,0.484728033176584
"ENSG00000110536",0.136400736412984,0.595907853011995
