"pathwayId"	"pathwayName"	"annMoleculeRatio"	"annBgRatio"	"pvalue"	"fdr"	"annMoleculeList"	"annBgMoleculeList"
"path:04530"	"Tight junction"	"14/860"	"131/21796"	0.000678275922237348	0.148542426969979	"10207;1496;23136;3993;4619;4620;4893;49861;5521;55844;5728;60;88;9071"	"10000;1019;10207;103910;10398;10627;10686;11336;1364;1365;1366;137075;1457;1459;1460;149461;1495;1496;1499;150084;154810;2017;2035;2036;2037;207;208;22800;22808;22989;23136;23562;24146;260425;26285;27134;2770;2771;2773;29119;29895;3059;3265;3845;387;3993;3996;4301;4619;4620;4621;4622;4624;4625;4626;4627;4628;4629;4633;4636;4893;4950;49861;5010;50848;50855;51208;51776;53842;5515;5516;5518;5519;5520;5521;5522;5578;5579;5580;5581;5582;5583;5584;55844;55870;5588;5590;56288;5728;57530;57644;58494;58498;5865;5872;60;60412;6237;64398;6714;7082;71;7122;7525;79784;81;8189;83700;84552;84612;8531;8573;87;8735;8777;88;89;9071;9073;9074;9075;9076;9080;9218;9223;92359;93408;93643;9414;9863;998"
"path:05200"	"Pathways in cancer"	"23/860"	"322/21796"	0.00466531511326651	0.320903518066704	"1027;1050;1488;1496;1950;25;2736;4286;4792;4893;51684;5728;5915;6655;6789;7039;7046;7185;7477;7480;80326;8321;8643"	"10000;1017;1019;1021;1026;1027;1029;10297;1030;10319;10342;10401;1050;10928;11186;11211;112398;112399;1147;1163;1282;1284;1286;1288;1387;1398;1399;1436;1438;1441;1487;1488;1495;1496;1499;1612;1613;1630;1855;1856;1857;1869;1870;1871;1950;1956;2033;2034;2064;207;208;2122;2246;2247;2248;2249;2250;2251;2252;2253;2254;2255;2256;2257;2258;2259;2260;2261;2263;2271;2277;22798;2308;2322;2323;2335;2353;23533;23604;23624;2475;25;2535;26060;26281;26291;27006;27148;2735;2736;2737;284217;2885;29119;2932;2956;3065;3066;3082;3091;324;3265;329;330;331;332;3320;3326;3479;3480;354;355;3551;356;3569;3576;3655;367;3673;3674;3675;3685;3688;369;3716;3725;3728;3815;3845;387;3908;3909;3910;3911;3912;3913;3914;3915;3918;405;4087;4088;4089;4149;4193;4233;4254;4286;4292;4312;4313;4318;4436;4437;4609;4790;4791;4792;4824;4843;4893;4914;51176;51384;5154;5155;5156;51588;5159;51684;5228;5290;5291;5293;5294;5295;5296;5335;5336;5371;54205;54361;54583;5467;5468;5578;5579;5582;5594;5595;5599;5601;5602;5604;5605;572;5727;5728;5743;5747;581;5879;5880;5881;5888;5894;5898;5899;5900;5914;5915;5925;595;596;5970;5979;598;613;6256;6257;6258;637;64399;6469;650;6502;6513;652;652346;6608;6654;6655;6688;673;675;6772;6774;6776;6777;6789;6921;6923;6932;6934;7039;7040;7042;7043;7046;7048;7157;7170;7175;7184;7185;7186;7187;7188;7189;7422;7423;7424;7428;7471;7472;7473;7474;7475;7476;7477;7478;7479;7480;7481;7482;7483;7484;7704;7849;7855;7976;8030;8031;80326;8074;81029;8312;8313;8321;8322;8323;8324;8325;8326;83439;83593;836;841;842;8453;8503;8517;8554;861;862;8643;867;868;8772;8817;8822;8823;89780;898;9063;9134;9618;9915;9965;9978;998;999"
"path:05217"	"Basal cell carcinoma"	"7/860"	"55/21796"	0.00566851822789505	0.320903518066704	"2736;51684;7477;7480;80326;8321;8643"	"10297;11211;1499;1855;1856;1857;2535;27148;2735;2736;2737;2932;324;51176;51384;51684;54361;5727;64399;6469;650;652;6608;6932;6934;7157;7471;7472;7473;7474;7475;7476;7477;7478;7479;7480;7481;7482;7483;7484;7855;7976;80326;81029;8312;8313;8321;8322;8323;8324;8325;8326;83439;8643;89780"
"path:04012"	"ErbB signaling pathway"	"9/860"	"86/21796"	0.00678045378001868	0.320903518066704	"1950;2065;25;4893;57144;6655;7039;8440;9542"	"10000;1026;10298;10718;1398;1399;145957;1839;1950;1956;1978;2002;2064;2065;2066;2069;207;208;23533;23624;2475;25;2549;25759;27;2885;2932;3084;3265;369;3725;374;3845;399694;4609;4690;4893;5058;5062;5063;5290;5291;5293;5294;5295;5296;5335;53358;5336;5578;5579;5582;5594;5595;5599;5601;5602;5604;5605;5609;56924;57144;572;5747;5894;6198;6199;6416;6464;6654;6655;6714;673;6776;6777;685;7039;815;816;817;818;8440;8503;867;868;9542"
"path:05220"	"Chronic myeloid leukemia"	"8/860"	"72/21796"	0.00732656433942247	0.320903518066704	"1027;1488;25;4792;4893;6655;7046;9846"	"10000;1019;1021;1026;1027;1029;1147;1398;1399;1487;1488;1869;1870;1871;207;208;2122;23533;23624;25;25759;2885;3065;3066;3265;3551;369;3845;399694;4089;4193;4609;4790;4792;4893;5290;5291;5293;5294;5295;5296;53358;5594;5595;5604;5605;572;5781;5894;5925;595;5970;598;613;6464;6654;6655;673;6776;6777;7040;7042;7043;7046;7048;7157;8503;8517;861;867;868;9846"
"path:04360"	"Axon guidance"	"11/860"	"126/21796"	0.0112348987167719	0.410073803162173	"11261;2044;22854;25;285220;3983;4893;56896;57144;63928;9037"	"10154;1020;10298;10371;10500;10501;10505;10507;10509;10512;1072;10725;1073;11261;137970;1630;1808;1942;1943;1944;1945;1946;1947;1948;1949;1969;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;219699;223117;2242;22854;22885;23365;23380;23654;25;2534;25791;27289;2770;2771;2773;285220;2932;29984;3265;3688;3845;387;3897;3983;3984;3985;4233;4772;4773;4775;4776;4893;4917;5058;5062;5063;5361;5362;5364;5365;54437;54910;5530;5532;5533;5534;5535;55558;5594;5595;56896;56920;56924;57144;5747;57522;57556;57689;57715;5879;5880;5881;5921;59277;5998;6091;6092;6093;63928;6405;64218;64221;6585;6586;7852;7869;80031;84448;8482;8633;8829;90249;9037;9353;9423;9475;9723;9901;998"
"path:05223"	"Non-small cell lung cancer"	"6/860"	"54/21796"	0.0191502102759719	0.548609632922079	"1950;4893;5915;6655;6789;7039"	"10000;1019;1021;1029;11186;1869;1870;1871;1950;1956;2064;207;208;2272;2309;23533;2885;3265;369;3845;4893;5170;5290;5291;5293;5294;5295;5296;5335;5336;5578;5579;5582;5594;5595;5604;5605;572;5894;5915;5925;595;6256;6257;6258;6654;6655;673;6789;7039;7157;83593;842;8503"
"path:04662"	"B cell receptor signaling pathway"	"7/860"	"70/21796"	0.020221062760393	0.548609632922079	"11261;4792;4893;63928;6655;84433;930"	"10000;10451;10725;10892;11261;1147;118788;1380;207;208;2353;23533;25780;27071;2885;2932;29760;3265;3551;3635;3725;3845;4067;4772;4773;4775;4776;4790;4792;4793;4794;4893;5290;5291;5293;5294;5295;5296;5530;5532;5533;5534;5535;5594;5595;5604;5605;5777;5879;5880;5881;5894;5970;63928;6654;6655;6850;695;7409;7410;84433;8503;8517;8915;930;933;971;973;974;975"
"path:04340"	"Hedgehog signaling pathway"	"6/860"	"56/21796"	0.0225456013529621	0.548609632922079	"2736;51684;7477;7480;80326;8643"	"122011;1452;1453;1454;1455;1456;23291;2619;27148;2735;2736;2737;2932;353500;3549;4036;50846;51384;51684;51715;53944;54361;5566;5567;5568;5613;5727;64399;6469;650;652;653;654;655;656;6608;7471;7472;7473;7474;7475;7476;7477;7478;7479;7480;7481;7482;7483;7484;7546;80326;81029;8643;8945;89780"
"path:00512"	"O-Glycan biosynthesis"	"4/860"	"30/21796"	0.029190776551304	0.639278006473557	"11227;2590;50614;9245"	"11226;11227;114805;117248;168391;192134;2589;2590;2591;26290;2650;29071;374378;442117;50614;51301;51809;55568;55808;56913;57452;63917;64409;6482;6483;79623;79695;8693;9245;9334"
