"Var1"	"Freq"
"path:00020"	5
"path:00061"	2
"path:00071"	1
"path:00190"	1
"path:00230"	3
"path:00240"	3
"path:00260"	1
"path:00330"	12
"path:00340"	1
"path:00410"	1
"path:00430"	1
"path:00472"	22
"path:00510"	17
"path:00511"	1
"path:00512"	3
"path:00514"	15
"path:00561"	2
"path:00562"	4
"path:00563"	5
"path:00564"	15
"path:00590"	15
"path:00591"	3
"path:00592"	4
"path:00600"	1
"path:00604"	23
"path:00630"	3
"path:00640"	2
"path:00750"	3
"path:00760"	4
"path:00770"	3
"path:00790"	18
"path:00910"	3
"path:02010"	12
"path:03010"	7
"path:03022"	3
"path:03030"	4
"path:03040"	11
"path:03050"	1
"path:03060"	5
"path:03320"	13
"path:03410"	1
"path:03420"	1
"path:03430"	3
"path:03440"	12
"path:04010"	11
"path:04012"	4
"path:04020"	3
"path:04060"	29
"path:04070"	7
"path:04080"	2
"path:04110"	7
"path:04114"	5
"path:04115"	5
"path:04122"	8
"path:04141"	23
"path:04142"	2
"path:04144"	10
"path:04145"	14
"path:04146"	21
"path:04150"	7
"path:04210"	3
"path:04260"	2
"path:04270"	8
"path:04310"	1
"path:04320"	3
"path:04330"	2
"path:04340"	2
"path:04350"	1
"path:04360"	6
"path:04370"	7
"path:04510"	8
"path:04512"	11
"path:04514"	3
"path:04520"	20
"path:04530"	54
"path:04540"	10
"path:04610"	10
"path:04612"	3
"path:04621"	11
"path:04623"	7
"path:04630"	12
"path:04640"	5
"path:04660"	7
"path:04662"	17
"path:04664"	12
"path:04666"	3
"path:04670"	27
"path:04672"	1
"path:04710"	8
"path:04720"	5
"path:04722"	2
"path:04730"	22
"path:04742"	1
"path:04810"	28
"path:04910"	1
"path:04912"	7
"path:04920"	4
"path:04940"	4
"path:04950"	2
"path:04962"	3
"path:04970"	24
"path:04972"	15
"path:05014"	9
"path:05100"	15
"path:05110"	1
"path:05120"	4
"path:05130"	34
"path:05131"	25
"path:05140"	3
"path:05142"	7
"path:05144"	3
"path:05145"	2
"path:05146"	2
"path:05150"	2
"path:05160"	8
"path:05200"	34
"path:05210"	3
"path:05211"	1
"path:05212"	7
"path:05213"	4
"path:05214"	1
"path:05215"	1
"path:05216"	1
"path:05217"	1
"path:05218"	4
"path:05219"	3
"path:05220"	49
"path:05221"	1
"path:05222"	5
"path:05223"	4
"path:05310"	4
"path:05320"	2
"path:05330"	2
"path:05332"	3
"path:05340"	4
"path:05410"	32
"path:05412"	20
"path:05414"	46
"path:05416"	33
