"z"	"Freq"
"10000"	8
"1027"	22
"1029"	4
"10342"	4
"1050"	30
"1163"	1
"1399"	1
"1441"	15
"1487"	17
"1488"	18
"1496"	31
"1613"	2
"1869"	10
"1950"	4
"208"	7
"2122"	8
"2246"	17
"2260"	21
"2263"	4
"2335"	13
"25"	34
"26291"	6
"27006"	4
"2736"	3
"3091"	2
"324"	12
"3265"	3
"332"	2
"3479"	19
"354"	8
"355"	12
"3551"	8
"3576"	5
"3655"	7
"3685"	14
"369"	1
"3716"	16
"3910"	21
"3912"	21
"4087"	14
"4089"	8
"4193"	3
"4286"	23
"4292"	4
"4312"	8
"4318"	16
"4436"	7
"4792"	2
"4824"	5
"4843"	3
"4893"	14
"5159"	5
"51684"	21
"5468"	4
"5595"	4
"5727"	5
"5728"	16
"581"	2
"5880"	4
"5888"	8
"5894"	2
"5914"	9
"5915"	29
"596"	7
"5970"	14
"613"	2
"637"	1
"6655"	12
"6688"	12
"6789"	11
"7039"	6
"7042"	25
"7046"	28
"7157"	6
"7170"	3
"7175"	11
"7185"	25
"7471"	5
"7477"	14
"7480"	3
"7704"	3
"8031"	9
"80326"	8
"8074"	10
"8321"	32
"8643"	27
"867"	7
"9915"	13
"998"	8
